year,from,to,q999,max
2022,AT,HU,1164.265435810653,1574.57
2022,RS,HU,489.75093587351836,561.14
2022,HU,RS,532.8155018181842,638.31
2022,HU,SK,3135.4961888544954,3259.31
2022,ES,FR,3624.392478095242,3725.51
2022,RO,BG,1585.052306823533,1760.48
2022,SK,CZ,2453.8928172794085,2619.6
2022,CZ,SK,305.21421205127484,472.78
2022,BE,UK,1000.9100871111111,1001.03
2022,CZ,DE,2495.431885333338,2582.7
2022,DE,FR,4092.277659686286,4367.37
2022,AZ,GE,55.92284457407404,57.18
2022,GE,RU,723.1121667518795,729.41
2022,DE,NL,4225.7370646792015,5540.74
2022,HU,RO,487.2348376818159,638.64
2022,HU,AT,1588.9117051438197,1831.21
2022,HU,UA,882.1601487058801,938.07
2022,FR,ES,3418.6232514285743,3513.7
2022,BG,RO,1048.765273600002,1270.08
2022,LU,DE,783.6156725847185,823.3
2022,DK,DE,3379.0471212921966,3498.38
2022,AT,SI,1125.2930589633143,1462.96
2022,UA,SK,774.6222214583327,864.03
2022,SK,UA,458.5722063448262,570.2
2022,LV,EE,864.9705771428569,885.75
2022,UK,BE,1044.4760691245792,1044.63
2022,DE,CZ,2733.463105347993,3020.56
2022,FR,DE,4146.169613061231,4372.72
2022,CH,DE,4794.713424234491,5118.1
2022,GE,AM,156.9145936842105,161.7
2022,GE,TR,0.333220853146845,1.3
2022,DE,LU,0.9788193024367449,29.95
2022,UA,HU,529.3728629629605,597.65
2022,RO,HU,715.4008007306812,809.76
2022,RO,RS,442.4977783006564,523.7
2022,PT,ES,4532.699530717715,4787.42
2022,DE,DK,3345.451087971959,3451.56
2022,AT,CZ,2393.2930256410286,2563
2022,AT,IT,17.651680000000194,24
2022,EE,LV,407.23742782608593,494.3
2022,EE,RU,316.15837179487136,463.6
2022,TR,BG,796.3677866666675,852
2022,DE,BE,1002.494357453997,1012
2022,NO,DE,1408.977446004348,1444.29
2022,NO,UK,1195.3890400000005,1221.16
2022,NO,SE,3609.3470569040896,3933.93
2022,SE,PL,593.0732972549022,598.82
2022,DK,SE,2046.9853877018638,2074.75
2022,DE,AT,2658.803941819715,3007.4
2022,AT,DE,3651.2506115029673,4062.86
2022,LT,BY,936.99746153846,996
2022,LT,LV,885.6293499999995,917
2022,LT,SE,734.719303896104,734.9
2022,DE,SE,634.5217809888362,720
2022,SE,LT,355.1224191571944,466.35
2022,ME,IT,584,584
2022,ME,BA,768.8610117647077,872.71
2022,ME,AL,632.1356272727284,688.03
2022,ME,XK,511.82788553359757,552.8
2022,BE,DE,1002.3556243177941,1002.73
2022,HR,SI,931.6115294117717,1129
2022,RS,HR,340.1160000000038,429
2022,MK,GR,737.4808888888927,804
2022,GR,AL,379.5257435897466,460
2022,GR,TR,744.3519602977674,758
2022,GE,AZ,615.310391179487,618.09
2022,RU,GE,0,0
2022,TR,GE,702.6757251428571,702.72
2022,SK,HU,173.6621396011767,443.12
2022,ES,PT,3128.371261677429,3592.67
2022,UA,RO,401.7220347222232,458.5
2022,RS,RO,739.4836970256424,790.32
2022,RO,UA,676.9119267241384,748.5
2022,NL,DE,3754.9032578632623,5273.58
2022,CZ,AT,25.04694251012197,207.7
2022,SI,AT,1518.0402657838704,1700.6
2022,RU,EE,798.3199117647059,799.6
2022,DE,NO,1407.234523526323,1407.36
2022,UK,FR,3051.3890544217693,3071
2022,IT,FR,3355.370928774933,4914
2022,MT,IT,221.07890476190505,225
2022,IT,GR,512.2794870813398,514
2022,DK,NL,700.0527207407408,700.51
2022,BG,MK,83.50177632653123,126.07
2022,UA,RU,941.477999999998,969
2022,SE,NO,3087.0305389047667,3229.97
2022,UK,NO,1400,1400
2022,LT,PL,492.24119411764707,492.77
2022,PL,LT,487.93204796992484,489.43
2022,DK,NO,1633.328162339181,1634.5
2022,SE,FI,691.6383695238148,975.9
2022,RU,LV,175.17044956140413,200
2022,IE,UK,529.9984499999999,530.01
2022,MD,RO,1156.2846672637706,1210
2022,BE,LU,150.92106483253616,170.18
2022,IT,AT,308.55107200000026,344
2022,BE,NL,3192.0911680000077,3520.88
2022,SI,IT,487.4757678571606,832.72
2022,NL,DK,700.5425847272727,835.42
2022,NO,NL,731.1662200966184,731.19
2022,NL,UK,1054.9405169273655,1056.58
2022,BG,GR,211.26738039215837,250
2022,UA,BY,733,759
2022,PL,CZ,305.3168019230893,786.37
2022,PL,UA,224.41961709803925,226.58
2022,PL,DE,1995.1009443629298,2147.19
2022,CZ,PL,2135.878368000006,2326.07
2022,PL,SE,601.9269650000002,604.4
2022,LT,RU,432.48424999999963,440
2022,IT,ME,603,603.5
2022,AL,ME,477.8564221538483,534.06
2022,HU,HR,579.9143250000061,796.31
2022,BA,HR,730.2206539801684,897
2022,SI,HR,1721.5116266666714,1827
2022,BA,RS,487.647649664904,656.48
2022,FR,IT,1289.5261196581264,1441
2022,FR,UK,2984.7395535714286,2985
2022,MK,RS,305.39266095238224,336.85
2022,BG,RS,214.95807905882617,263.25
2022,UK,NL,1086.802591359548,1087.97
2022,CH,IT,1337.0244297520699,1517
2022,NO,FI,53.30726487394979,60.7
2022,FI,RU,1520.5611914975848,1528.2
2022,CH,AT,1846.950343703707,1949.31
2022,IT,CH,4582.328800000018,4936
2022,LV,RU,291.82457647058874,313
2022,BE,FR,2219.8316622222324,3133.12
2022,RO,MD,264.0871570782159,324
2022,AL,XK,435.1294184615409,652.35
2022,XK,RS,634.048844705885,708.94
2022,RS,XK,298.57073019398075,338.61
2022,XK,MK,486.65866666666835,630
2022,BA,ME,644.349088640001,688.53
2022,HR,RS,570.1712333333365,658
2022,RS,MK,369.5468828571496,495.02
2022,IT,MT,53.07146800000067,88
2022,RU,FI,0.7746428433402621,2.65
2022,FI,NO,116.19257389473701,135.33
2022,LU,BE,266.453163621085,272.11
2022,BG,TR,213.90514541062836,242
2022,UA,PL,0,0
2022,LV,LT,743.188002597399,857.5
2022,BY,LT,331.73995466170584,356
2022,SE,DE,453.1045645000086,595.49
2022,RS,ME,590.1101641242243,611.65
2022,XK,ME,410.78700030075476,497.2
2022,HR,HU,1506.2873667878823,1619.71
2022,GR,MK,667.2658461538474,701
2022,TR,GR,222.19600000000756,323
2022,RU,UA,170,173
2022,BY,UA,290.70599999999854,311
2022,RS,BG,786.9852362962972,859.5
2022,SE,DK,2313.3322500848935,2371.62
2022,AT,CH,999.921622400004,1236.64
2022,EE,FI,1021.8882715789476,1031.3
2022,FI,EE,450.49539638009543,556.25
2022,UK,IE,500.03152857142857,500.04
2022,FR,BE,3774.7224351417062,3961.44
2022,UA,MD,807.5586319163283,927
2022,PL,SK,263.0640608695713,415.3
2022,NL,BE,2839.724030400011,3709.15
2022,IT,SI,1286.6284897744395,1433.42
2022,NL,NO,706.2532529100529,706.44
2022,XK,AL,390.14198589473796,432.08
2022,MK,XK,363.3370453333341,410.8
2022,GR,BG,547.4318518518544,598
2022,DE,PL,1392.697568207802,1732.88
2022,FR,CH,3661.840106951883,4451
2022,SK,PL,1426.550640816329,1485.4
2022,MK,BG,567.6182816399289,594
2022,NO,DK,1611.3147840000001,1611.84
2022,RU,LT,89.73862903225677,211
2022,AL,GR,669.0644210526319,764
2022,RS,BA,448.40683208791364,498.61
2022,GR,IT,505.5702857142857,511
2022,FI,SE,2722.570654359452,2769
2022,MD,UA,437.793787878787,489
2022,HR,BA,1298.5481090909134,1421
2022,ME,RS,396.93089961199433,452.21
2022,CH,FR,3606.620428571446,3947
2021,TR,GE,310.57,310.57
2021,GE,TR,0.78,0.78
2021,AM,GE,0,0
2021,GE,AM,0,0
2021,AZ,GE,0,0
2021,GE,AZ,431.35,431.35
2021,RU,GE,0,0
2021,GE,RU,736.11,736.11
2022,SI,HU,782.8259717857151,879.56
2022,HU,SI,248.19527882615728,291.18
